Symbol,Description,Category?¡ø?,UniProt ID,GIFtS,GC id,Score,8.409
MAP3K3,Mitogen-Activated Protein Kinase Kinase Kinase 3,Protein Coding,Q99759,59,GC17P063622,5.18,
PF4,Platelet Factor 4,Protein Coding,P02776,52,GC04M073980,5.18,
PMAIP1,Phorbol-12-Myristate-13-Acetate-Induced Protein 1,Protein Coding,Q13794,51,GC18P059899,5.17,
SLC52A3,Solute Carrier Family 52 Member 3,Protein Coding,Q9NQ40,55,GC20M000741,5.17,
FADS2,Fatty Acid Desaturase 2,Protein Coding,O95864,54,GC11P061792,5.17,
RNH1,Ribonuclease/Angiogenin Inhibitor 1,Protein Coding,P13489,50,GC11M015051,5.17,
MYOG,Myogenin,Protein Coding,P15173,52,GC01M203083,5.17,
MT-TM,Mitochondrially Encoded TRNA-Met (AUA/G),RNA Gene (tRNA),,21,GCMTP004404,5.17,
HABP4,Hyaluronan Binding Protein 4,Protein Coding,Q5JVS0,42,GC09P096450,5.16,
NCOA1,Nuclear Receptor Coactivator 1,Protein Coding,Q15788,58,GC02P024540,5.16,
CEL,Carboxyl Ester Lipase,Protein Coding,P19835,58,GC09P133061,5.16,
SLC7A2,Solute Carrier Family 7 Member 2,Protein Coding,P52569,54,GC08P017497,5.16,
CD63,CD63 Molecule,Protein Coding,P08962,56,GC12M060362,5.16,
ENTPD1,Ectonucleoside Triphosphate Diphosphohydrolase 1,Protein Coding,P49961,62,GC10P124203,5.16,
NLRP1,NLR Family Pyrin Domain Containing 1,Protein Coding,Q9C000,57,GC17M005499,5.16,
SGF29,SAGA Complex Associated Factor 29,Protein Coding,Q96ES7,43,GC16P120855,5.15,
ABCG5,ATP Binding Cassette Subfamily G Member 5,Protein Coding,Q9H222,58,GC02M043806,5.15,
SND1,Staphylococcal Nuclease And Tudor Domain Containing 1,Protein Coding,Q7KZF4,52,GC07P127652,5.14,
MBTPS1,"Membrane Bound Transcription Factor Peptidase, Site 1",Protein Coding,Q14703,55,GC16M084053,5.14,
EIF3G,Eukaryotic Translation Initiation Factor 3 Subunit G,Protein Coding,O75821,50,GC19M010115,5.14,
HSPA12A,Heat Shock Protein Family A (Hsp70) Member 12A,Protein Coding,O43301,47,GC10M116671,5.14,
HSPBAP1,HSPB1 Associated Protein 1,Protein Coding,Q96EW2,46,GC03M122739,5.14,
CSNK2A2,Casein Kinase 2 Alpha 2,Protein Coding,P19784,58,GC16M058157,5.14,
TAOK3,TAO Kinase 3,Protein Coding,Q9H2K8,51,GC12M118149,5.13,
ETV5,ETS Variant Transcription Factor 5,Protein Coding,P41161,52,GC03M186046,5.13,
CD3E,CD3 Epsilon Subunit Of T-Cell Receptor Complex,Protein Coding,P07766,60,GC11P118304,5.13,
RAB23,"RAB23, Member RAS Oncogene Family",Protein Coding,Q9ULC3,55,GC06M106941,5.13,
VPS53,VPS53 Subunit Of GARP Complex,Protein Coding,Q5VIR6,53,GC17M000508,5.13,
BSND,Barttin CLCNK Type Accessory Subunit Beta,Protein Coding,Q8WZ55,52,GC01P054998,5.13,
CC2D2A,Coiled-Coil And C2 Domain Containing 2A,Protein Coding,Q9P2K1,52,GC04P030056,5.13,
IFT140,Intraflagellar Transport 140,Protein Coding,Q96RY7,52,GC16M049799,5.13,
RS1,Retinoschisin 1,Protein Coding,O15537,52,GC0XM018639,5.13,
EVC2,EvC Ciliary Complex Subunit 2,Protein Coding,Q86UK5,51,GC04M006424,5.13,
HPS3,HPS3 Biogenesis Of Lysosomal Organelles Complex 2 Subunit 1,Protein Coding,Q969F9,51,GC03P149129,5.13,
HPS4,HPS4 Biogenesis Of Lysosomal Organelles Complex 3 Subunit 2,Protein Coding,Q9NQG7,51,GC22M026443,5.13,
TCTN1,Tectonic Family Member 1,Protein Coding,Q2MV58,51,GC12P110614,5.13,
TTC7A,Tetratricopeptide Repeat Domain 7A,Protein Coding,Q9ULT0,51,GC02P046928,5.13,
B9D2,B9 Domain Containing 2,Protein Coding,Q9BPU9,50,GC19M041354,5.13,
HYLS1,HYLS1 Centriolar And Ciliogenesis Associated,Protein Coding,Q96M11,50,GC11P125883,5.13,
LCA5,Lebercilin LCA5,Protein Coding,Q86VQ0,50,GC06M079484,5.13,
POU3F4,POU Class 3 Homeobox 4,Protein Coding,P49335,50,GC0XP083508,5.13,
RFXANK,Regulatory Factor X Associated Ankyrin Containing Protein,Protein Coding,O14593,50,GC19P019192,5.13,
TMEM138,Transmembrane Protein 138,Protein Coding,Q9NPI0,50,GC11P107410,5.13,
BLOC1S3,Biogenesis Of Lysosomal Organelles Complex 1 Subunit 3,Protein Coding,Q6QNY0,48,GC19P045178,5.13,
TMEM237,Transmembrane Protein 237,Protein Coding,Q96Q45,48,GC02M201620,5.13,
TECPR2,Tectonin Beta-Propeller Repeat Containing 2,Protein Coding,O15040,47,GC14P102362,5.13,
LOXHD1,Lipoxygenase Homology PLAT Domains 1,Protein Coding,Q8IVV2,45,GC18M046476,5.13,
MESP2,Mesoderm Posterior BHLH Transcription Factor 2,Protein Coding,Q0VG99,45,GC15P193932,5.13,
ZNF469,Zinc Finger Protein 469,Protein Coding,Q96JG9,42,GC16P122775,5.13,
SYNE4,Spectrin Repeat Containing Nuclear Envelope Family Member 4,Protein Coding,Q8N205,41,GC19M036003,5.13,
PRCD,Photoreceptor Disc Component,Protein Coding,Q00LT1,40,GC17P076527,5.13,
RBP4,Retinol Binding Protein 4,Protein Coding,P02753,58,GC10M093591,5.13,
PRKACB,Protein Kinase CAMP-Activated Catalytic Subunit Beta,Protein Coding,P22694,61,GC01P084078,5.13,
PTGES,Prostaglandin E Synthase,Protein Coding,O14684,54,GC09M129738,5.13,
RALBP1,RalA Binding Protein 1,Protein Coding,Q15311,57,GC18P009465,5.13,
SMC1A,Structural Maintenance Of Chromosomes 1A,Protein Coding,Q14683,61,GC0XM053374,5.13,
CD80,CD80 Molecule,Protein Coding,P33681,55,GC03M119524,5.12,
COQ7,"Coenzyme Q7, Hydroxylase",Protein Coding,Q99807,55,GC16P019067,5.12,
MITF,Melanocyte Inducing Transcription Factor,Protein Coding,O75030,61,GC03P069740,5.12,
ASAH1,N-Acylsphingosine Amidohydrolase 1,Protein Coding,Q13510,62,GC08M018055,5.12,
BAG4,BAG Cochaperone 4,Protein Coding,O95429,46,GC08P038176,5.12,
GK,Glycerol Kinase,Protein Coding,P32189,59,GC0XP031646,5.12,
ECI2,Enoyl-CoA Delta Isomerase 2,Protein Coding,O75521,54,GC06M004115,5.12,
AHCYL1,Adenosylhomocysteinase Like 1,Protein Coding,O43865,54,GC01P109984,5.12,
TBP,TATA-Box Binding Protein,Protein Coding,P20226,62,GC06P170554,5.11,
TNFAIP3,TNF Alpha Induced Protein 3,Protein Coding,P21580,62,GC06P137866,5.11,
PRRC2C,Proline Rich Coiled-Coil 2C,Protein Coding,Q9Y520,43,GC01P177348,5.1,
RAP1A,"RAP1A, Member Of RAS Oncogene Family",Protein Coding,P62834,57,GC01P111542,5.1,
F2R,Coagulation Factor II Thrombin Receptor,Protein Coding,P25116,58,GC05P076716,5.1,
PIM1,"Pim-1 Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,P11309,62,GC06P182028,5.1,
LIMA1,LIM Domain And Actin Binding 1,Protein Coding,Q9UHB6,50,GC12M050175,5.09,
STK3,Serine/Threonine Kinase 3,Protein Coding,Q13188,57,GC08M098343,5.09,
PSMD11,"Proteasome 26S Subunit, Non-ATPase 11",Protein Coding,O00231,52,GC17P032444,5.09,
CACNA1G,Calcium Voltage-Gated Channel Subunit Alpha1 G,Protein Coding,O43497,62,GC17P155147,5.09,
BDH2,3-Hydroxybutyrate Dehydrogenase 2,Protein Coding,Q9BUT1,45,GC04M103077,5.08,
MT-TA,Mitochondrially Encoded TRNA-Ala (GCN),RNA Gene (tRNA),,20,GCMTM005589,5.08,
ATG16L1,Autophagy Related 16 Like 1,Protein Coding,Q676U5,55,GC02P235056,5.07,
SUV39H1,SUV39H1 Histone Lysine Methyltransferase,Protein Coding,O43463,55,GC0XP060888,5.07,
IDE,Insulin Degrading Enzyme,Protein Coding,P14735,61,GC10M092451,5.07,
TOMM70,Translocase Of Outer Mitochondrial Membrane 70,Protein Coding,O94826,51,GC03M100364,5.06,
NUDT15,Nudix Hydrolase 15,Protein Coding,Q9NV35,48,GC13P048037,5.06,
MIR143,MicroRNA 143,RNA Gene (miRNA),,32,GC05P159244,5.06,
SLC25A24,Solute Carrier Family 25 Member 24,Protein Coding,Q6NUK1,54,GC01M108134,5.06,
GP6,Glycoprotein VI Platelet,Protein Coding,Q9HCN6,58,GC19M055013,5.05,
TMX1,Thioredoxin Related Transmembrane Protein 1,Protein Coding,Q9H3N1,44,GC14P051240,5.05,
TIMELESS,Timeless Circadian Regulator,Protein Coding,Q9UNS1,52,GC12M056416,5.05,
NAPRT,Nicotinate Phosphoribosyltransferase,Protein Coding,Q6XQN6,48,GC08M147336,5.05,
GAP43,Growth Associated Protein 43,Protein Coding,P17677,56,GC03P115623,5.05,
DHX36,DEAH-Box Helicase 36,Protein Coding,Q9H2U1,53,GC03M154272,5.05,
RPL13,Ribosomal Protein L13,Protein Coding,P26373,52,GC16P122949,5.04,
MAFG,MAF BZIP Transcription Factor G,Protein Coding,O15525,48,GC17M081918,5.04,
CALB2,Calbindin 2,Protein Coding,P22676,52,GC16P071358,5.04,
CDKL5,Cyclin Dependent Kinase Like 5,Protein Coding,O76039,56,GC0XP018425,5.04,
HMGA2,High Mobility Group AT-Hook 2,Protein Coding,P52926,58,GC12P065824,5.04,
SMPD4,Sphingomyelin Phosphodiesterase 4,Protein Coding,Q9NXE4,52,GC02M130151,5.04,
SLC2A3,Solute Carrier Family 2 Member 3,Protein Coding,P11169,61,GC12M007919,5.04,
MIR200A,MicroRNA 200a,RNA Gene (miRNA),,29,GC01P074920,5.04,
PIK3CD,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Delta",Protein Coding,O00329,65,GC01P075262,5.03,
TP53I3,Tumor Protein P53 Inducible Protein 3,Protein Coding,Q53FA7,51,GC02M024078,5.03,
AAMP,Angio Associated Migratory Cell Protein,Protein Coding,Q13685,49,GC02M218264,5.03,
NDUFB5,NADH:Ubiquinone Oxidoreductase Subunit B5,Protein Coding,O43674,48,GC03P179604,5.03,
MIR199A1,MicroRNA 199a-1,RNA Gene (miRNA),,29,GC19M010817,5.03,
CNTN2,Contactin 2,Protein Coding,Q02246,59,GC01P205043,5.03,
MTIF2,Mitochondrial Translational Initiation Factor 2,Protein Coding,P46199,50,GC02M055236,5.03,
TIPIN,TIMELESS Interacting Protein,Protein Coding,Q9BVW5,50,GC15M066336,5.03,
ACSS2,Acyl-CoA Synthetase Short Chain Family Member 2,Protein Coding,Q9NR19,58,GC20P053239,5.03,
MAPK8IP3,Mitogen-Activated Protein Kinase 8 Interacting Protein 3,Protein Coding,Q9UPT6,53,GC16P001706,5.02,
SOS2,SOS Ras/Rho Guanine Nucleotide Exchange Factor 2,Protein Coding,Q07890,57,GC14M050117,5.02,
PPM1A,"Protein Phosphatase, Mg2+/Mn2+ Dependent 1A",Protein Coding,P35813,56,GC14P060245,5.02,
NEXN,Nexilin F-Actin Binding Protein,Protein Coding,Q0ZGT2,52,GC01P081563,5.02,
EIF2S3,Eukaryotic Translation Initiation Factor 2 Subunit Gamma,Protein Coding,P41091,58,GC0XP024054,5.02,
CYP2C18,Cytochrome P450 Family 2 Subfamily C Member 18,Protein Coding,P33260,54,GC10P124194,5.02,
MIRLET7B,MicroRNA Let-7b,RNA Gene (miRNA),,29,GC22P092388,5.01,
MIR106B,MicroRNA 106b,RNA Gene (miRNA),,30,GC07M106713,5.01,
PTGER2,Prostaglandin E Receptor 2,Protein Coding,P43116,61,GC14P052314,5.01,
LDHB,Lactate Dehydrogenase B,Protein Coding,P07195,57,GC12M021635,5,
CTCF,CCCTC-Binding Factor,Protein Coding,P49711,60,GC16P121886,5,
RELB,"RELB Proto-Oncogene, NF-KB Subunit",Protein Coding,Q01201,59,GC19P152702,5,
MYL3,Myosin Light Chain 3,Protein Coding,P08590,59,GC03M046836,5,
ITPR3,"Inositol 1,4,5-Trisphosphate Receptor Type 3",Protein Coding,Q14573,59,GC06P033620,5,
SFXN1,Sideroflexin 1,Protein Coding,Q9H9B4,48,GC05P175477,5,
ATP8A1,ATPase Phospholipid Transporting 8A1,Protein Coding,Q9Y2Q0,53,GC04M042410,5,
FADD,Fas Associated Via Death Domain,Protein Coding,Q13158,60,GC11P070203,5,
BHMT,Betaine--Homocysteine S-Methyltransferase,Protein Coding,Q93088,55,GC05P079111,4.99,
DST,Dystonin,Protein Coding,Q03001,55,GC06M056457,4.99,
ITGAX,Integrin Subunit Alpha X,Protein Coding,P20702,59,GC16P121102,4.99,
BUB1B,BUB1 Mitotic Checkpoint Serine/Threonine Kinase B,Protein Coding,O60566,63,GC15P040161,4.99,
RAN,"RAN, Member RAS Oncogene Family",Protein Coding,P62826,56,GC12P139078,4.99,
SHOC2,SHOC2 Leucine Rich Repeat Scaffold Protein,Protein Coding,Q9UQ13,53,GC10P110919,4.99,
MIR132,MicroRNA 132,RNA Gene (miRNA),,30,GC17M002049,4.99,
PTH1R,Parathyroid Hormone 1 Receptor,Protein Coding,Q03431,62,GC03P046877,4.99,
HSPA4L,Heat Shock Protein Family A (Hsp70) Member 4 Like,Protein Coding,O95757,45,GC04P127781,4.99,
NFIX,Nuclear Factor I X,Protein Coding,Q14938,56,GC19P151938,4.98,
HNRNPL,Heterogeneous Nuclear Ribonucleoprotein L,Protein Coding,P14866,52,GC19M038836,4.98,
SLC5A7,Solute Carrier Family 5 Member 7,Protein Coding,Q9GZV3,56,GC02P107969,4.98,
FABP12,Fatty Acid Binding Protein 12,Protein Coding,A6NFH5,44,GC08M081524,4.98,
ENOX2,Ecto-NOX Disulfide-Thiol Exchanger 2,Protein Coding,Q16206,50,GC0XM130623,4.97,
EXOSC9,Exosome Component 9,Protein Coding,Q06265,52,GC04P121801,4.97,
SUMO2,Small Ubiquitin Like Modifier 2,Protein Coding,P61956,54,GC17M075165,4.97,
GOSR2,Golgi SNAP Receptor Complex Member 2,Protein Coding,O14653,54,GC17P155011,4.97,
PSMA1,Proteasome 20S Subunit Alpha 1,Protein Coding,P25786,55,GC11M015484,4.97,
SAA1,Serum Amyloid A1,Protein Coding,P0DJI8,51,GC11P021404,4.97,
BDKRB1,Bradykinin Receptor B1,Protein Coding,P46663,52,GC14P096362,4.97,
MCM3,Minichromosome Maintenance Complex Component 3,Protein Coding,P25205,58,GC06M052264,4.97,
ACSL5,Acyl-CoA Synthetase Long Chain Family Member 5,Protein Coding,Q9ULC5,54,GC10P112374,4.97,
ACAN,Aggrecan,Protein Coding,P16112,60,GC15P193892,4.97,
SGCE,Sarcoglycan Epsilon,Protein Coding,O43556,55,GC07M094524,4.96,
WNT3A,Wnt Family Member 3A,Protein Coding,P56704,60,GC01P233248,4.96,
MR1,"Major Histocompatibility Complex, Class I-Related",Protein Coding,Q95460,52,GC01P181033,4.96,
COL6A3,Collagen Type VI Alpha 3 Chain,Protein Coding,P12111,57,GC02M237324,4.96,
GNB2,G Protein Subunit Beta 2,Protein Coding,P62879,57,GC07P100673,4.96,
FABP2,Fatty Acid Binding Protein 2,Protein Coding,P12104,54,GC04M119317,4.96,
SYNE2,Spectrin Repeat Containing Nuclear Envelope Protein 2,Protein Coding,Q8WXH0,52,GC14P063761,4.96,
MIR18A,MicroRNA 18a,RNA Gene (miRNA),,28,GC13P091750,4.96,
GRM5,Glutamate Metabotropic Receptor 5,Protein Coding,P41594,60,GC11M088504,4.95,
PEBP1,Phosphatidylethanolamine Binding Protein 1,Protein Coding,P30086,58,GC12P118189,4.95,
WDR26,WD Repeat Domain 26,Protein Coding,Q9H7D7,53,GC01M224385,4.95,
STXBP1,Syntaxin Binding Protein 1,Protein Coding,P61764,61,GC09P152828,4.95,
TAF1,TATA-Box Binding Protein Associated Factor 1,Protein Coding,P21675,61,GC0XP071366,4.95,
NBR1,NBR1 Autophagy Cargo Receptor,Protein Coding,Q14596,51,GC17P043170,4.95,
ABAT,4-Aminobutyrate Aminotransferase,Protein Coding,P80404,58,GC16P008674,4.95,
DRD3,Dopamine Receptor D3,Protein Coding,P35462,57,GC03M114128,4.95,
ME3,Malic Enzyme 3,Protein Coding,Q16798,47,GC11M140237,4.94,
TNC,Tenascin C,Protein Coding,P24821,62,GC09M115019,4.94,
RECQL4,RecQ Like Helicase 4,Protein Coding,O94761,54,GC08M147404,4.94,
LALBA,Lactalbumin Alpha,Protein Coding,P00709,51,GC12M048567,4.94,
H3C1,H3 Clustered Histone 1,Protein Coding,P68431,50,GC06P181698,4.94,
C5,Complement C5,Protein Coding,P01031,60,GC09M122525,4.94,
FOXA2,Forkhead Box A2,Protein Coding,Q9Y261,60,GC20M022581,4.94,
UBE3A,Ubiquitin Protein Ligase E3A,Protein Coding,Q05086,61,GC15M025333,4.93,
GSK3A,Glycogen Synthase Kinase 3 Alpha,Protein Coding,P49840,62,GC19M108797,4.93,
MINK1,Misshapen Like Kinase 1,Protein Coding,Q8N4C8,55,GC17P004833,4.93,
ABCG8,ATP Binding Cassette Subfamily G Member 8,Protein Coding,Q9H221,54,GC02P045317,4.93,
INPP5D,Inositol Polyphosphate-5-Phosphatase D,Protein Coding,Q92835,60,GC02P233059,4.93,
SELENOW,Selenoprotein W,Protein Coding,P63302,42,GC19P152793,4.93,
ROMO1,Reactive Oxygen Species Modulator 1,Protein Coding,P60602,42,GC20P035699,4.93,
MLST8,"MTOR Associated Protein, LST8 Homolog",Protein Coding,Q9BVC4,54,GC16P002204,4.92,
SUCLG2,Succinate-CoA Ligase GDP-Forming Subunit Beta,Protein Coding,Q96I99,54,GC03M067358,4.92,
CTNND1,Catenin Delta 1,Protein Coding,O60716,58,GC11P059474,4.92,
REL,"REL Proto-Oncogene, NF-KB Subunit",Protein Coding,Q04864,61,GC02P060881,4.92,
PSMD3,"Proteasome 26S Subunit, Non-ATPase 3",Protein Coding,O43242,54,GC17P039980,4.92,
UBE2D2,Ubiquitin Conjugating Enzyme E2 D2,Protein Coding,P62837,55,GC05P139526,4.91,
NUFIP2,Nuclear FMR1 Interacting Protein 2,Protein Coding,Q7Z417,45,GC17M096707,4.91,
MIRLET7I,MicroRNA Let-7i,RNA Gene (miRNA),,30,GC12P075610,4.9,
LOC110006319,Beta-Globin Gene 3' Regulatory Region,Functional Element,,10,GC11P005223,4.9,
PDE3B,Phosphodiesterase 3B,Protein Coding,Q13370,57,GC11P014643,4.9,
USP14,Ubiquitin Specific Peptidase 14,Protein Coding,P54578,57,GC18P000158,4.9,
SUPV3L1,Suv3 Like RNA Helicase,Protein Coding,Q8IYB8,50,GC10P069182,4.89,
LIMCH1,LIM And Calponin Homology Domains 1,Protein Coding,Q9UPQ0,41,GC04P041362,4.89,
SPAG5,Sperm Associated Antigen 5,Protein Coding,Q96R06,47,GC17M028577,4.88,
FGFR3,Fibroblast Growth Factor Receptor 3,Protein Coding,P22607,68,GC04P029505,4.88,
SARDH,Sarcosine Dehydrogenase,Protein Coding,Q9UL12,55,GC09M133663,4.88,
CYBC1,Cytochrome B-245 Chaperone 1,Protein Coding,Q9BQA9,47,GC17M098300,4.88,
RNF112,Ring Finger Protein 112,Protein Coding,Q9ULX5,48,GC17P154124,4.88,
SPARC,Secreted Protein Acidic And Cysteine Rich,Protein Coding,P09486,62,GC05M151661,4.88,
TFPI,Tissue Factor Pathway Inhibitor,Protein Coding,P10646,58,GC02M187464,4.88,
PURA,Purine Rich Element Binding Protein A,Protein Coding,Q00577,58,GC05P159032,4.87,
MIR31,MicroRNA 31,RNA Gene (miRNA),,29,GC09M022327,4.87,
IDH3A,Isocitrate Dehydrogenase (NAD(+)) 3 Catalytic Subunit Alpha,Protein Coding,P50213,56,GC15P078131,4.87,
MIR381,MicroRNA 381,RNA Gene (miRNA),,27,GC14P121372,4.86,
RRAS,RAS Related,Protein Coding,P10301,54,GC19M049635,4.86,
SDC1,Syndecan 1,Protein Coding,P18827,55,GC02M020200,4.86,
PPM1L,"Protein Phosphatase, Mg2+/Mn2+ Dependent 1L",Protein Coding,Q5SGD2,47,GC03P160755,4.86,
FKBP14,FKBP Prolyl Isomerase 14,Protein Coding,Q9NWM8,53,GC07M031698,4.86,
TBCD,Tubulin Folding Cofactor D,Protein Coding,Q9BTW9,52,GC17P082752,4.86,
ITGA2B,Integrin Subunit Alpha 2b,Protein Coding,P08514,64,GC17M097296,4.86,
TBX1,T-Box Transcription Factor 1,Protein Coding,O43435,54,GC22P091527,4.85,
ACTN4,Actinin Alpha 4,Protein Coding,O43707,60,GC19P038647,4.85,
CES1,Carboxylesterase 1,Protein Coding,P23141,61,GC16M055836,4.85,
POLD1,"DNA Polymerase Delta 1, Catalytic Subunit",Protein Coding,P28340,60,GC19P152917,4.85,
KRT1,Keratin 1,Protein Coding,P04264,60,GC12M052674,4.85,
CYP26A1,Cytochrome P450 Family 26 Subfamily A Member 1,Protein Coding,O43174,55,GC10P093073,4.84,
COX7C,Cytochrome C Oxidase Subunit 7C,Protein Coding,P15954,50,GC05P086617,4.84,
PSMA4,Proteasome 20S Subunit Alpha 4,Protein Coding,P25789,55,GC15P078540,4.84,
KIF1B,Kinesin Family Member 1B,Protein Coding,O60333,55,GC01P010210,4.84,
UGT1A8,UDP Glucuronosyltransferase Family 1 Member A8,Protein Coding,Q9HAW9,51,GC02P235099,4.84,
NSDHL,NAD(P) Dependent 3-Beta-Hydroxysteroid Dehydrogenase NSDHL,Protein Coding,Q15738,57,GC0XP152830,4.84,
MYOC,Myocilin,Protein Coding,Q99972,54,GC01M171604,4.84,
MCM2,Minichromosome Maintenance Complex Component 2,Protein Coding,P49736,60,GC03P127598,4.84,
RPLP0,Ribosomal Protein Lateral Stalk Subunit P0,Protein Coding,P05388,55,GC12M120196,4.84,
STOML2,Stomatin Like 2,Protein Coding,Q9UJZ1,49,GC09M035099,4.83,
LDLRAP1,Low Density Lipoprotein Receptor Adaptor Protein 1,Protein Coding,Q5SW96,52,GC01P025543,4.83,
IGFBP3,Insulin Like Growth Factor Binding Protein 3,Protein Coding,P17936,59,GC07M045912,4.83,
CTSL,Cathepsin L,Protein Coding,P07711,60,GC09P087725,4.82,
AK4,Adenylate Kinase 4,Protein Coding,P27144,50,GC01P065147,4.82,
MT-TC,Mitochondrially Encoded TRNA-Cys (UGU/C),RNA Gene (tRNA),,20,GCMTM005763,4.82,
DERL2,Derlin 2,Protein Coding,Q9GZP9,48,GC17M005471,4.82,
SIRT7,Sirtuin 7,Protein Coding,Q9NRC8,56,GC17M081911,4.82,
TTF2,Transcription Termination Factor 2,Protein Coding,Q9UNY4,51,GC01P117060,4.82,
ST14,ST14 Transmembrane Serine Protease Matriptase,Protein Coding,Q9Y5Y6,60,GC11P130159,4.82,
EIF2S2,Eukaryotic Translation Initiation Factor 2 Subunit Beta,Protein Coding,P20042,52,GC20M034088,4.82,
MIR142,MicroRNA 142,RNA Gene (miRNA),,30,GC17M058331,4.81,
GRM1,Glutamate Metabotropic Receptor 1,Protein Coding,Q13255,63,GC06P183496,4.81,
TAOK1,TAO Kinase 1,Protein Coding,Q7L7X3,57,GC17P154322,4.81,
RAD52,"RAD52 Homolog, DNA Repair Protein",Protein Coding,P43351,54,GC12M000912,4.81,
MEF2C,Myocyte Enhancer Factor 2C,Protein Coding,Q06413,62,GC05M088718,4.81,
ALDH1L1,Aldehyde Dehydrogenase 1 Family Member L1,Protein Coding,O75891,53,GC03M126103,4.81,
CD86,CD86 Molecule,Protein Coding,P42081,57,GC03P122055,4.81,
MIR181A2,MicroRNA 181a-2,RNA Gene (miRNA),,28,GC09P124692,4.81,
CR1,Complement C3b/C4b Receptor 1 (Knops Blood Group),Protein Coding,P17927,57,GC01P207496,4.8,
ZNFX1,Zinc Finger NFX1-Type Containing 1,Protein Coding,Q9P2E3,47,GC20M049972,4.8,
MT-TR,Mitochondrially Encoded TRNA-Arg (CGN),RNA Gene (tRNA),,20,GCMTP010407,4.8,
MIR107,MicroRNA 107,RNA Gene (miRNA),,28,GC10M089604,4.8,
FADS1,Fatty Acid Desaturase 1,Protein Coding,O60427,55,GC11M061799,4.8,
RPA3,Replication Protein A3,Protein Coding,P35244,52,GC07M009910,4.8,
H3-3B,H3.3 Histone B,Protein Coding,P84243,51,GC17M098063,4.79,
PSMC1,"Proteasome 26S Subunit, ATPase 1",Protein Coding,P62191,56,GC14P090256,4.79,
RPS2,Ribosomal Protein S2,Protein Coding,P15880,51,GC16M049820,4.79,
MIR200C,MicroRNA 200c,RNA Gene (miRNA),,31,GC12P074084,4.79,
PTHLH,Parathyroid Hormone Like Hormone,Protein Coding,P12272,58,GC12M036019,4.79,
NR2F2,Nuclear Receptor Subfamily 2 Group F Member 2,Protein Coding,P24468,61,GC15P096325,4.79,
LARP1,"La Ribonucleoprotein 1, Translational Regulator",Protein Coding,Q6PKG0,47,GC05P154682,4.79,
H2AC4,H2A Clustered Histone 4,Protein Coding,P04908,44,GC06M106107,4.79,
HTR1B,5-Hydroxytryptamine Receptor 1B,Protein Coding,P28222,55,GC06M107837,4.78,
PSMA5,Proteasome 20S Subunit Alpha 5,Protein Coding,P28066,55,GC01M109399,4.78,
GHR,Growth Hormone Receptor,Protein Coding,P10912,58,GC05P042429,4.78,
