Symbol,Description,Category?¡ø?,UniProt ID,GIFtS,GC id,Score,8.409
CNGA1,Cyclic Nucleotide Gated Channel Subunit Alpha 1,Protein Coding,P29973,57,GC04M047935,5.22,
GLS2,Glutaminase 2,Protein Coding,Q9UI32,54,GC12M056470,5.22,
CD3G,CD3 Gamma Subunit Of T-Cell Receptor Complex,Protein Coding,P09693,59,GC11P118344,5.21,
MAK,Male Germ Cell Associated Kinase,Protein Coding,P20794,55,GC06M010762,5.21,
PHKB,Phosphorylase Kinase Regulatory Subunit Beta,Protein Coding,Q93100,55,GC16P121372,5.21,
AIPL1,AIP Like 1 HSP90 Co-Chaperone,Protein Coding,Q9NZN9,53,GC17M006393,5.21,
TCTN2,Tectonic Family Member 2,Protein Coding,Q96GX1,51,GC12P123671,5.21,
ZBTB24,Zinc Finger And BTB Domain Containing 24,Protein Coding,O43167,50,GC06M110941,5.21,
TMEM231,Transmembrane Protein 231,Protein Coding,Q9H6L2,49,GC16M075536,5.21,
RD3,RD3 Regulator Of GUCY2D,Protein Coding,Q7Z3Z2,48,GC01M211476,5.21,
SPATA7,Spermatogenesis Associated 7,Protein Coding,Q9P0W8,48,GC14P088384,5.21,
PRDM5,PR/SET Domain 5,Protein Coding,Q9NQX1,47,GC04M121403,5.21,
TMEM216,Transmembrane Protein 216,Protein Coding,Q9P0N5,47,GC11P107409,5.21,
CPLANE1,Ciliogenesis And Planar Polarity Effector Complex Subunit 1,Protein Coding,Q9H799,45,GC05M038781,5.21,
SDC4,Syndecan 4,Protein Coding,P31431,54,GC20M045325,5.21,
COX6C,Cytochrome C Oxidase Subunit 6C,Protein Coding,P09669,51,GC08M099899,5.21,
SCNN1A,Sodium Channel Epithelial 1 Subunit Alpha,Protein Coding,P37088,62,GC12M006346,5.21,
NFKB2,Nuclear Factor Kappa B Subunit 2,Protein Coding,Q00653,65,GC10P102394,5.21,
DPYSL2,Dihydropyrimidinase Like 2,Protein Coding,Q16555,58,GC08P026514,5.2,
CHAC1,ChaC Glutathione Specific Gamma-Glutamylcyclotransferase 1,Protein Coding,Q9BUX1,49,GC15P040952,5.2,
EEF1D,Eukaryotic Translation Elongation Factor 1 Delta,Protein Coding,P29692,53,GC08M143579,5.2,
TOMM40,Translocase Of Outer Mitochondrial Membrane 40,Protein Coding,O96008,52,GC19P044890,5.2,
PI3,Peptidase Inhibitor 3,Protein Coding,P19957,50,GC20P045174,5.2,
MIR126,MicroRNA 126,RNA Gene (miRNA),,31,GC09P136670,5.2,
ACAD10,Acyl-CoA Dehydrogenase Family Member 10,Protein Coding,Q6JQN1,47,GC12P111686,5.19,
LAMA4,Laminin Subunit Alpha 4,Protein Coding,Q16363,57,GC06M112107,5.19,
GYS1,Glycogen Synthase 1,Protein Coding,P13807,62,GC19M109023,5.19,
HULC,Hepatocellular Carcinoma Up-Regulated Long Non-Coding RNA,RNA Gene (lncRNA),,29,GC06P009612,5.19,
EPM2A,"EPM2A Glucan Phosphatase, Laforin",Protein Coding,B3EWF7,54,GC06M145382,5.19,
DEPDC5,"DEP Domain Containing 5, GATOR1 Subcomplex Subunit",Protein Coding,O75140,54,GC22P031753,5.19,
NUP88,Nucleoporin 88,Protein Coding,Q99567,52,GC17M096124,5.18,
FNIP1,Folliculin Interacting Protein 1,Protein Coding,Q8TF40,50,GC05M131641,5.18,
CA3,Carbonic Anhydrase 3,Protein Coding,P07451,54,GC08P085373,5.18,
SLC6A6,Solute Carrier Family 6 Member 6,Protein Coding,P31641,58,GC03P014402,5.18,
