"probes","moduleColor","GS.PE","p.GS.PE","MEblack","MEblack","MEmagenta","MEmagenta","MEyellow","MEyellow","MEblue","MEblue","MEpurple","MEpurple","MEturquoise","MEturquoise","MEpink","MEpink","MEbrown","MEbrown","MEgreen","MEgreen","MEgrey","MEgrey"
"CTIF","black",-0.0939896762148058,0.525152106366914,0.780710776288662,5.98595876359722e-11,0.698180074132328,3.45939986479982e-08,0.424998376096185,0.00260358588384755,0.435117054640182,0.00199685931701635,-0.0641720874786278,0.664778730277074,-0.409641277321242,0.00383615090572145,-0.0353927879900976,0.811245497580794,-0.537513429990563,8.16383424820304e-05,-0.364590195565502,0.0108425149565923,0.309351761704617,0.0323915118816171
"OR2M7","black",-0.303095839354623,0.0362514382729754,0.511695310776835,0.000201425487232974,0.314974701496344,0.0292187870564253,0.158264556336679,0.282654696534345,0.231634151822496,0.113162827066835,0.0891309839590065,0.546880639090141,-0.11139806123966,0.450972290954328,0.162811433592454,0.268876164714639,-0.307256262341252,0.033644612767328,-0.273970896779336,0.0595213387645488,0.429658413574608,0.00230643584040574
"ANP32C","black",0.375981500170791,0.0084480254055024,-0.683841289322805,8.43757717248099e-08,-0.540981459008374,7.19033226883861e-05,-0.395402260785378,0.00540979360910146,-0.181354600162193,0.217351437817088,-0.145462082813603,0.32389492658386,0.184985806531908,0.208126822169671,-0.0211844393363064,0.886355547061117,0.506122355032954,0.000242507670242714,0.317747185192332,0.0277522480082554,-0.413988881627669,0.00344371960362015
"CDK5RAP2","black",-0.300732292960357,0.0378050599125847,0.605883248959146,5.03689016130247e-06,0.325366001004964,0.0240349186936539,0.315093291980102,0.0291547633675137,0.08889703792431,0.54793762245862,-0.27593765980754,0.0576435829225146,0.0636587656519124,0.667303586767069,0.0918873384197575,0.5345012792224,-0.346243734606543,0.0159218133248139,-0.529656324488558,0.000108298969007553,0.360717738175016,0.0117795555030969
"ZBTB7A","black",0.0467948190066777,0.752130662936,0.546648576042754,5.8253650025393e-05,0.393984794677549,0.00559364825604525,0.230837274634087,0.11444311567852,0.28351099429,0.0508530029542566,0.0372467742782207,0.801552660559901,-0.336330977375504,0.019424063498394,0.0810640367882609,0.583879688017822,-0.158827634927915,0.280923732051525,-0.371374765718822,0.00935476499183828,0.151050992590647,0.305447545449323
"MAPKAPK2","black",-0.0917217080931197,0.535241279077378,0.82189318177004,8.06896810037571e-13,0.756314495930957,5.08041857667646e-10,0.637705647604136,1.08909253268008e-06,0.148840903701674,0.312660210992701,0.206635744727551,0.158794394584246,-0.267820863197219,0.0657114930984826,-0.106072574199965,0.473035443655704,-0.648920745189583,6.08470200903679e-07,-0.701648574101655,2.76656558115359e-08,0.339399369042398,0.0182764380894896
"SLC41A1","black",-0.275533746455462,0.0580252799106952,0.865595786919388,2.04271001166689e-15,0.78220793327826,5.20378611016228e-11,0.689185799837469,6.08782401238967e-08,0.140468602832766,0.340957773449366,0.0407586262194752,0.78327416619893,-0.300468392637094,0.0379818765495636,-0.172170589836915,0.241939409788933,-0.64909129112183,6.02996469894007e-07,-0.594115942463165,8.51617109629247e-06,0.320562812739675,0.0263262126471561
"IDO1","black",0.356175889576907,0.0129662695397801,-0.590742274163505,9.86251564916061e-06,-0.36883317899783,0.00989005638020439,-0.403961344231237,0.004407698573445,-0.0412902503718718,0.780516957860113,0.395950403730086,0.00534012300116387,-0.00366338540745638,0.980284911176676,0.0479866495349284,0.746025602252655,0.466375505869801,0.000834482617904689,0.227704648183772,0.119583126467876,-0.461668172457126,0.000956733698979727
"ARHGEF11","black",-0.542957176940379,6.68438769681496e-05,0.598263570980803,7.09387438712321e-06,0.0283639442018254,0.848236029707591,0.1349524220688,0.360440946391441,-0.051411677554915,0.728567952144125,-0.345563144012443,0.0161437727998716,0.33557635781141,0.019715446548072,0.352998138051021,0.013856098451158,-0.208278758000708,0.155434852606775,-0.443356355742842,0.00159919734617097,0.67960798362899,1.08745877453437e-07
"RPS6","black",0.349653151998214,0.0148485551325396,-0.616103663154589,3.13702402667647e-06,-0.149567052725052,0.310278543256309,-0.298797439093911,0.0391172856182521,0.0367797153542172,0.803991773756282,0.259519607425431,0.0748687032385546,0.231887063156808,0.112758781199628,-0.386666154624058,0.00663222424901133,-0.0933597787995857,0.52794476829624,0.175276620175292,0.233420714976433,-0.452573693391118,0.0012391876913759
