NAME	TITLE	SCORE	
PTGES	PTGES	0.21594745	
MYOCD	MYOCD	0.21568376	
ANGPTL2	ANGPTL2	0.21566527	
PALLD	PALLD	0.2155222	
KLK1	KLK1	0.21521284	
ANGPT1	ANGPT1	0.2138504	
TRIL	TRIL	0.21380572	
DPY19L2	DPY19L2	0.21376951	
FBXL22	FBXL22	0.21326825	
GKN1	GKN1	0.21312125	
PSG9	PSG9	0.21308418	
MYL10	MYL10	0.21208042	
SSPN	SSPN	0.21102592	
ST6GALNAC5	ST6GALNAC5	0.21072912	
PDLIM5	PDLIM5	0.21063013	
BCHE	BCHE	0.21027459	
RRAD	RRAD	0.21019955	
PROX1	PROX1	0.20978153	
HCAR1	HCAR1	0.20967306	
C14orf28	C14orf28	0.20962831	
CD109	CD109	0.20884185	
PSG2	PSG2	0.20880872	
MIR181A2HG	MIR181A2HG	0.20804976	
TGFB1I1	TGFB1I1	0.20788443	
ITM2C	ITM2C	0.20758837	
WFDC1	WFDC1	0.20715985	
DIAPH3	DIAPH3	0.20643094	
NPAS4	NPAS4	0.20642598	
FAM149A	FAM149A	0.20608479	
C1orf106	C1orf106	0.20544364	
FGF7	FGF7	0.20480064	
PCSK6	PCSK6	0.20476335	
PCDH18	PCDH18	0.20394066	
CDC42EP3	CDC42EP3	0.2038422	
OTC	OTC	0.20351332	
ERVMER34-1	ERVMER34-1	0.20335285	
FAM83E	FAM83E	0.20285903	
FAT1	FAT1	0.20126733	
RCOR2	RCOR2	0.20117508	
PHLDA2	PHLDA2	0.20098697	
TAGLN	TAGLN	0.20082074	
CNTN3	CNTN3	0.20045888	
SORBS1	SORBS1	0.20030154	
KIAA1211L	KIAA1211L	0.20029171	
EVA1A	EVA1A	0.200152	
RASL12	RASL12	0.1999573	
GPT	GPT	0.19988538	
SIX2	SIX2	0.19982687	
CCL14	CCL14	0.19966829	
OXTR	OXTR	0.19938724	
LAMB1	LAMB1	0.19881897	
KCNK12	KCNK12	0.19847636	
CLIC6	CLIC6	0.19813564	
ITGA8	ITGA8	0.19798017	
HS3ST1	HS3ST1	0.19753978	
BNC2	BNC2	0.19749813	
KAZALD1	KAZALD1	0.1974096	
HOXD10	HOXD10	0.19719972	
DSG2	DSG2	0.19648191	
PDZRN3	PDZRN3	0.19623291	
N4BP3	N4BP3	0.19609986	
NES	NES	0.19585341	
PDE7B	PDE7B	0.19522257	
ANGPTL1	ANGPTL1	0.1950126	
HOTAIR	HOTAIR	0.19481555	
GPC4	GPC4	0.19475086	
LHX4	LHX4	0.19446628	
LHX2	LHX2	0.19429965	
EMCN	EMCN	0.19413826	
SPECC1	SPECC1	0.19279313	
EFHC2	EFHC2	0.19250886	
KCNF1	KCNF1	0.19215061	
KCNJ2	KCNJ2	0.19097602	
APCDD1L	APCDD1L	0.19078203	
HBZ	HBZ	0.19015317	
TAC3	TAC3	0.18982443	
SERPINF1	SERPINF1	0.18926881	
WNT2B	WNT2B	0.18918586	
ADH1B	ADH1B	0.18898734	
MCAM	MCAM	0.1889327	
ASPHD2	ASPHD2	0.18890426	
HES2	HES2	0.18874182	
PRICKLE1	PRICKLE1	0.18868366	
THBS2	THBS2	0.18868227	
MATN2	MATN2	0.18847802	
KCNN2	KCNN2	0.18847685	
PSG4	PSG4	0.18847162	
TGFB2	TGFB2	0.18846254	
KCTD15	KCTD15	0.18796256	
MRVI1	MRVI1	0.18763572	
AGXT	AGXT	0.18757364	
DPP4	DPP4	0.18697679	
CAPN12	CAPN12	0.18693955	
CPA3	CPA3	0.18682842	
CXCL13	CXCL13	0.1867966	
SH3RF1	SH3RF1	0.18669541	
HYAL4	HYAL4	0.18533237	
