NAME	TITLE	SCORE	
PLBD1	PLBD1	0.13028215	
PI15	PI15	0.13021491	
FAM49B	FAM49B	0.13017966	
HHEX	HHEX	0.12997332	
KCTD15	KCTD15	0.12985867	
CLEC4A	CLEC4A	0.12980877	
FGR	FGR	0.12955947	
OSBP2	OSBP2	0.1293628	
CST7	CST7	0.12922868	
MS4A6E	MS4A6E	0.12912127	
WAS	WAS	0.1290521	
CORO1A	CORO1A	0.12893307	
EDIL3	EDIL3	0.12889445	
AHSP	AHSP	0.12886278	
ICAM3	ICAM3	0.12879708	
PORCN	PORCN	0.12868947	
TSPAN33	TSPAN33	0.1286121	
KLRD1	KLRD1	0.1285197	
INMT	INMT	0.12846	
GATA2	GATA2	0.1281269	
GPR183	GPR183	0.12789392	
TFF3	TFF3	0.12786981	
EFCAB1	EFCAB1	0.12784038	
CDSN	CDSN	0.12777217	
HBM	HBM	0.12774311	
FLT3	FLT3	0.1275196	
CACNA1H	CACNA1H	0.12749478	
TMEM64	TMEM64	0.12735146	
CHURC1	CHURC1	0.12731054	
NLRP12	NLRP12	0.12721586	
SLCO4A1	SLCO4A1	0.12715472	
RAC2	RAC2	0.12714168	
RNASE1	RNASE1	0.1271153	
SSPN	SSPN	0.12689117	
ANKRD50	ANKRD50	0.12665904	
LRRC8D	LRRC8D	0.126548	
SDPR	SDPR	0.12654325	
SLA	SLA	0.12651552	
SMIM24	SMIM24	0.1264951	
SULF1	SULF1	0.12649085	
CD69	CD69	0.12633339	
TMIGD3	TMIGD3	0.12632686	
A2ML1	A2ML1	0.1261677	
SYNJ2	SYNJ2	0.12593041	
HLA-DRB6	HLA-DRB6	0.12589934	
SLC29A2	SLC29A2	0.12571143	
BTK	BTK	0.12568904	
SCN9A	SCN9A	0.12549515	
